STATE,ST_CASE,VEH_NO,MDAREAS,YEAR
Texas,480001.0,1.0,12 Clock Value,2014
Texas,480001.0,2.0,6 Clock Value,2014
Texas,480002.0,1.0,3 Clock Value,2014
Texas,480002.0,1.0,12 Clock Value,2014
Texas,480002.0,1.0,Top,2014
Texas,480003.0,1.0,11 Clock Value,2014
Texas,480003.0,2.0,12 Clock Value,2014
Texas,480004.0,1.0,Undercarriage,2014
Texas,480005.0,1.0,9 Clock Value,2014
Texas,480005.0,1.0,Top,2014
Texas,480006.0,1.0,12 Clock Value,2014
Texas,480006.0,2.0,3 Clock Value,2014
Texas,480006.0,2.0,12 Clock Value,2014
Texas,480007.0,1.0,12 Clock Value,2014
Texas,480008.0,1.0,9 Clock Value,2014
Texas,480008.0,1.0,12 Clock Value,2014
Texas,480009.0,1.0,8 Clock Value,2014
Texas,480009.0,1.0,Top,2014
Texas,480010.0,1.0,12 Clock Value,2014
Texas,480010.0,2.0,1 Clock Value,2014
Texas,480011.0,1.0,12 Clock Value,2014
Texas,480012.0,1.0,3 Clock Value,2014
Texas,480012.0,2.0,7 Clock Value,2014
Texas,480012.0,2.0,8 Clock Value,2014
Texas,480012.0,2.0,9 Clock Value,2014
Texas,480012.0,2.0,10 Clock Value,2014
Texas,480012.0,2.0,11 Clock Value,2014
Texas,480012.0,2.0,12 Clock Value,2014
Texas,480012.0,2.0,Top,2014
Texas,480013.0,1.0,1 Clock Value,2014
Texas,480013.0,1.0,2 Clock Value,2014
Texas,480013.0,1.0,3 Clock Value,2014
Texas,480013.0,1.0,4 Clock Value,2014
Texas,480013.0,1.0,5 Clock Value,2014
Texas,480013.0,1.0,12 Clock Value,2014
Texas,480013.0,1.0,Top,2014
Texas,480013.0,2.0,12 Clock Value,2014
Texas,480014.0,1.0,10 Clock Value,2014
Texas,480015.0,1.0,1 Clock Value,2014
Texas,480015.0,1.0,2 Clock Value,2014
Texas,480015.0,1.0,3 Clock Value,2014
Texas,480015.0,1.0,4 Clock Value,2014
Texas,480015.0,1.0,5 Clock Value,2014
Texas,480015.0,1.0,Top,2014
Texas,480016.0,1.0,6 Clock Value,2014
Texas,480016.0,2.0,12 Clock Value,2014
Texas,480017.0,1.0,1 Clock Value,2014
Texas,480017.0,1.0,2 Clock Value,2014
Texas,480017.0,1.0,3 Clock Value,2014
Texas,480017.0,1.0,4 Clock Value,2014
Texas,480017.0,1.0,5 Clock Value,2014
Texas,480017.0,1.0,12 Clock Value,2014
Texas,480017.0,1.0,Top,2014
Texas,480018.0,1.0,7 Clock Value,2014
Texas,480018.0,1.0,8 Clock Value,2014
Texas,480018.0,1.0,9 Clock Value,2014
Texas,480018.0,1.0,10 Clock Value,2014
Texas,480018.0,1.0,11 Clock Value,2014
Texas,480018.0,1.0,12 Clock Value,2014
Texas,480018.0,2.0,7 Clock Value,2014
Texas,480018.0,2.0,8 Clock Value,2014
Texas,480018.0,2.0,9 Clock Value,2014
Texas,480018.0,2.0,10 Clock Value,2014
Texas,480018.0,2.0,11 Clock Value,2014
Texas,480018.0,2.0,12 Clock Value,2014
Texas,480018.0,2.0,Top,2014
Texas,480019.0,1.0,1 Clock Value,2014
Texas,480019.0,1.0,11 Clock Value,2014
Texas,480020.0,1.0,7 Clock Value,2014
Texas,480020.0,1.0,8 Clock Value,2014
Texas,480020.0,1.0,9 Clock Value,2014
Texas,480020.0,1.0,10 Clock Value,2014
Texas,480020.0,1.0,11 Clock Value,2014
Texas,480020.0,1.0,Top,2014
Texas,480021.0,1.0,9 Clock Value,2014
Texas,480021.0,2.0,12 Clock Value,2014
Texas,480022.0,1.0,3 Clock Value,2014
Texas,480022.0,1.0,Top,2014
Texas,480023.0,1.0,3 Clock Value,2014
Texas,480023.0,1.0,Top,2014
Texas,480024.0,1.0,9 Clock Value,2014
Texas,480024.0,1.0,Top,2014
Texas,480025.0,1.0,12 Clock Value,2014
Texas,480025.0,2.0,3 Clock Value,2014
Texas,480026.0,1.0,6 Clock Value,2014
Texas,480026.0,2.0,12 Clock Value,2014
Texas,480026.0,3.0,12 Clock Value,2014
Texas,480026.0,4.0,12 Clock Value,2014
Texas,480027.0,1.0,10 Clock Value,2014
Texas,480027.0,1.0,12 Clock Value,2014
Texas,480028.0,1.0,12 Clock Value,2014
Texas,480029.0,1.0,12 Clock Value,2014
Texas,480030.0,1.0,9 Clock Value,2014
Texas,480030.0,1.0,12 Clock Value,2014
Texas,480030.0,1.0,Top,2014
Texas,480031.0,1.0,7 Clock Value,2014
Texas,480031.0,1.0,8 Clock Value,2014
Texas,480031.0,1.0,9 Clock Value,2014
Texas,480031.0,1.0,10 Clock Value,2014
Texas,480031.0,1.0,11 Clock Value,2014
Texas,480031.0,1.0,12 Clock Value,2014
Texas,480031.0,1.0,Top,2014
Texas,480032.0,1.0,1 Clock Value,2014
Texas,480032.0,1.0,2 Clock Value,2014
Texas,480032.0,1.0,3 Clock Value,2014
Texas,480032.0,1.0,4 Clock Value,2014
Texas,480032.0,1.0,5 Clock Value,2014
Texas,480032.0,1.0,Top,2014
Texas,480033.0,1.0,7 Clock Value,2014
Texas,480033.0,1.0,8 Clock Value,2014
Texas,480033.0,1.0,9 Clock Value,2014
Texas,480033.0,1.0,10 Clock Value,2014
Texas,480033.0,1.0,11 Clock Value,2014
Texas,480033.0,1.0,12 Clock Value,2014
Texas,480033.0,1.0,Top,2014
Texas,480033.0,2.0,6 Clock Value,2014
Texas,480034.0,1.0,12 Clock Value,2014
Texas,480035.0,1.0,7 Clock Value,2014
Texas,480035.0,1.0,8 Clock Value,2014
Texas,480035.0,1.0,9 Clock Value,2014
Texas,480035.0,1.0,10 Clock Value,2014
Texas,480035.0,1.0,11 Clock Value,2014
Texas,480035.0,1.0,Top,2014
Texas,480036.0,1.0,12 Clock Value,2014
Texas,480037.0,1.0,12 Clock Value,2014
Texas,480038.0,1.0,12 Clock Value,2014
Texas,480038.0,2.0,12 Clock Value,2014
Texas,480039.0,1.0,12 Clock Value,2014
Texas,480040.0,1.0,12 Clock Value,2014
Texas,480041.0,1.0,10 Clock Value,2014
Texas,480041.0,2.0,12 Clock Value,2014
Texas,480042.0,1.0,12 Clock Value,2014
Texas,480043.0,1.0,12 Clock Value,2014
Texas,480043.0,2.0,9 Clock Value,2014
