STATE,ST_CASE,VEH_NO,PER_NO,NMIMPAIR,YEAR
Texas,480001.0,0.0,1.0,None/Apparently Normal,2014
Texas,480007.0,0.0,1.0,None/Apparently Normal,2014
Texas,480027.0,0.0,1.0,None/Apparently Normal,2014
Texas,480028.0,0.0,1.0,None/Apparently Normal,2014
Texas,480029.0,0.0,1.0,None/Apparently Normal,2014
Texas,480034.0,0.0,1.0,None/Apparently Normal,2014
Texas,480037.0,0.0,1.0,None/Apparently Normal,2014
Texas,480040.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480042.0,0.0,1.0,None/Apparently Normal,2014
Texas,480045.0,0.0,1.0,None/Apparently Normal,2014
Texas,480049.0,0.0,1.0,None/Apparently Normal,2014
Texas,480053.0,0.0,1.0,None/Apparently Normal,2014
Texas,480057.0,0.0,1.0,None/Apparently Normal,2014
Texas,480063.0,0.0,1.0,None/Apparently Normal,2014
Texas,480069.0,0.0,1.0,None/Apparently Normal,2014
Texas,480082.0,0.0,1.0,None/Apparently Normal,2014
Texas,480082.0,0.0,2.0,None/Apparently Normal,2014
Texas,480083.0,0.0,1.0,None/Apparently Normal,2014
Texas,480084.0,0.0,1.0,None/Apparently Normal,2014
Texas,480087.0,0.0,1.0,None/Apparently Normal,2014
Texas,480089.0,0.0,1.0,None/Apparently Normal,2014
Texas,480094.0,0.0,1.0,None/Apparently Normal,2014
Texas,480100.0,0.0,1.0,None/Apparently Normal,2014
Texas,480101.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480122.0,0.0,1.0,None/Apparently Normal,2014
Texas,480125.0,0.0,1.0,None/Apparently Normal,2014
Texas,480127.0,0.0,1.0,None/Apparently Normal,2014
Texas,480129.0,0.0,1.0,None/Apparently Normal,2014
Texas,480139.0,0.0,1.0,None/Apparently Normal,2014
Texas,480152.0,0.0,1.0,None/Apparently Normal,2014
Texas,480154.0,0.0,1.0,None/Apparently Normal,2014
Texas,480157.0,0.0,1.0,None/Apparently Normal,2014
Texas,480160.0,0.0,1.0,None/Apparently Normal,2014
Texas,480176.0,0.0,1.0,None/Apparently Normal,2014
Texas,480177.0,0.0,1.0,None/Apparently Normal,2014
Texas,480179.0,0.0,1.0,None/Apparently Normal,2014
Texas,480181.0,0.0,1.0,None/Apparently Normal,2014
Texas,480184.0,0.0,1.0,None/Apparently Normal,2014
Texas,480187.0,0.0,1.0,None/Apparently Normal,2014
Texas,480200.0,0.0,1.0,None/Apparently Normal,2014
Texas,480237.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480239.0,0.0,1.0,None/Apparently Normal,2014
Texas,480250.0,0.0,1.0,None/Apparently Normal,2014
Texas,480258.0,0.0,1.0,None/Apparently Normal,2014
Texas,480260.0,0.0,1.0,Unknown if Impaired,2014
Texas,480262.0,0.0,1.0,None/Apparently Normal,2014
Texas,480279.0,0.0,1.0,None/Apparently Normal,2014
Texas,480279.0,0.0,2.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480280.0,0.0,1.0,None/Apparently Normal,2014
Texas,480282.0,0.0,1.0,None/Apparently Normal,2014
Texas,480282.0,0.0,2.0,None/Apparently Normal,2014
Texas,480282.0,0.0,3.0,None/Apparently Normal,2014
Texas,480282.0,0.0,4.0,None/Apparently Normal,2014
Texas,480282.0,0.0,5.0,None/Apparently Normal,2014
Texas,480282.0,0.0,6.0,None/Apparently Normal,2014
Texas,480282.0,0.0,7.0,None/Apparently Normal,2014
Texas,480286.0,0.0,1.0,None/Apparently Normal,2014
Texas,480291.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480298.0,0.0,1.0,Not Reported,2014
Texas,480306.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480309.0,0.0,1.0,Not Reported,2014
Texas,480312.0,0.0,1.0,None/Apparently Normal,2014
Texas,480313.0,0.0,1.0,None/Apparently Normal,2014
Texas,480316.0,0.0,1.0,None/Apparently Normal,2014
Texas,480318.0,0.0,1.0,None/Apparently Normal,2014
Texas,480323.0,0.0,1.0,Not Reported,2014
Texas,480330.0,0.0,1.0,Not Reported,2014
Texas,480331.0,0.0,1.0,None/Apparently Normal,2014
Texas,480338.0,0.0,1.0,None/Apparently Normal,2014
Texas,480339.0,0.0,1.0,None/Apparently Normal,2014
Texas,480345.0,0.0,1.0,Not Reported,2014
Texas,480353.0,0.0,1.0,None/Apparently Normal,2014
Texas,480354.0,0.0,1.0,None/Apparently Normal,2014
Texas,480357.0,0.0,1.0,None/Apparently Normal,2014
Texas,480359.0,0.0,1.0,None/Apparently Normal,2014
Texas,480367.0,0.0,1.0,None/Apparently Normal,2014
Texas,480369.0,0.0,1.0,None/Apparently Normal,2014
Texas,480370.0,0.0,1.0,None/Apparently Normal,2014
Texas,480378.0,0.0,1.0,None/Apparently Normal,2014
Texas,480380.0,0.0,1.0,None/Apparently Normal,2014
Texas,480387.0,0.0,1.0,None/Apparently Normal,2014
Texas,480388.0,0.0,1.0,None/Apparently Normal,2014
Texas,480390.0,0.0,1.0,None/Apparently Normal,2014
Texas,480392.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480395.0,0.0,1.0,None/Apparently Normal,2014
Texas,480399.0,0.0,1.0,None/Apparently Normal,2014
Texas,480403.0,0.0,1.0,None/Apparently Normal,2014
Texas,480406.0,0.0,1.0,None/Apparently Normal,2014
Texas,480409.0,0.0,1.0,None/Apparently Normal,2014
Texas,480425.0,0.0,1.0,None/Apparently Normal,2014
Texas,480433.0,0.0,1.0,None/Apparently Normal,2014
Texas,480444.0,0.0,1.0,None/Apparently Normal,2014
Texas,480447.0,0.0,1.0,None/Apparently Normal,2014
Texas,480452.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480453.0,0.0,1.0,None/Apparently Normal,2014
Texas,480460.0,0.0,1.0,None/Apparently Normal,2014
Texas,480460.0,0.0,2.0,None/Apparently Normal,2014
Texas,480460.0,0.0,3.0,None/Apparently Normal,2014
Texas,480460.0,0.0,4.0,None/Apparently Normal,2014
Texas,480460.0,0.0,5.0,None/Apparently Normal,2014
Texas,480460.0,0.0,6.0,None/Apparently Normal,2014
Texas,480460.0,0.0,7.0,None/Apparently Normal,2014
Texas,480460.0,0.0,8.0,None/Apparently Normal,2014
Texas,480460.0,0.0,9.0,None/Apparently Normal,2014
Texas,480460.0,0.0,10.0,None/Apparently Normal,2014
Texas,480460.0,0.0,11.0,None/Apparently Normal,2014
Texas,480460.0,0.0,12.0,None/Apparently Normal,2014
Texas,480460.0,0.0,13.0,None/Apparently Normal,2014
Texas,480460.0,0.0,14.0,None/Apparently Normal,2014
Texas,480460.0,0.0,15.0,None/Apparently Normal,2014
Texas,480461.0,0.0,1.0,None/Apparently Normal,2014
Texas,480466.0,0.0,1.0,None/Apparently Normal,2014
Texas,480468.0,0.0,1.0,None/Apparently Normal,2014
Texas,480470.0,0.0,1.0,None/Apparently Normal,2014
Texas,480474.0,0.0,1.0,None/Apparently Normal,2014
Texas,480479.0,0.0,1.0,Not Reported,2014
Texas,480483.0,0.0,1.0,None/Apparently Normal,2014
Texas,480491.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480492.0,0.0,1.0,None/Apparently Normal,2014
Texas,480496.0,0.0,1.0,None/Apparently Normal,2014
Texas,480508.0,0.0,1.0,Asleep or Fatigued,2014
Texas,480509.0,0.0,1.0,None/Apparently Normal,2014
Texas,480511.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480523.0,0.0,1.0,None/Apparently Normal,2014
Texas,480524.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480525.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480550.0,0.0,1.0,None/Apparently Normal,2014
Texas,480551.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480564.0,0.0,1.0,None/Apparently Normal,2014
Texas,480574.0,0.0,1.0,None/Apparently Normal,2014
Texas,480575.0,0.0,1.0,None/Apparently Normal,2014
Texas,480579.0,0.0,1.0,None/Apparently Normal,2014
Texas,480583.0,0.0,1.0,None/Apparently Normal,2014
Texas,480589.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480590.0,0.0,1.0,None/Apparently Normal,2014
Texas,480594.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480597.0,0.0,1.0,None/Apparently Normal,2014
Texas,480603.0,0.0,1.0,None/Apparently Normal,2014
Texas,480605.0,0.0,1.0,None/Apparently Normal,2014
Texas,480608.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480623.0,0.0,1.0,None/Apparently Normal,2014
Texas,480628.0,0.0,1.0,None/Apparently Normal,2014
Texas,480633.0,0.0,1.0,None/Apparently Normal,2014
Texas,480658.0,0.0,1.0,None/Apparently Normal,2014
Texas,480659.0,0.0,1.0,None/Apparently Normal,2014
Texas,480661.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480663.0,0.0,1.0,None/Apparently Normal,2014
Texas,480670.0,0.0,1.0,None/Apparently Normal,2014
Texas,480679.0,0.0,1.0,None/Apparently Normal,2014
Texas,480689.0,0.0,1.0,None/Apparently Normal,2014
Texas,480690.0,0.0,1.0,None/Apparently Normal,2014
Texas,480696.0,0.0,1.0,None/Apparently Normal,2014
Texas,480698.0,0.0,1.0,None/Apparently Normal,2014
Texas,480699.0,0.0,1.0,None/Apparently Normal,2014
Texas,480705.0,0.0,1.0,None/Apparently Normal,2014
Texas,480705.0,0.0,2.0,None/Apparently Normal,2014
Texas,480708.0,0.0,1.0,None/Apparently Normal,2014
Texas,480709.0,0.0,1.0,None/Apparently Normal,2014
Texas,480710.0,0.0,1.0,None/Apparently Normal,2014
Texas,480722.0,0.0,1.0,None/Apparently Normal,2014
Texas,480724.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480731.0,0.0,1.0,Physical Impairment - No Details,2014
Texas,480736.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480739.0,0.0,1.0,None/Apparently Normal,2014
Texas,480751.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480753.0,0.0,1.0,None/Apparently Normal,2014
Texas,480765.0,0.0,1.0,None/Apparently Normal,2014
Texas,480768.0,0.0,1.0,None/Apparently Normal,2014
Texas,480772.0,0.0,1.0,None/Apparently Normal,2014
Texas,480778.0,0.0,1.0,None/Apparently Normal,2014
Texas,480786.0,0.0,1.0,None/Apparently Normal,2014
Texas,480786.0,0.0,2.0,None/Apparently Normal,2014
Texas,480786.0,0.0,3.0,None/Apparently Normal,2014
Texas,480787.0,0.0,1.0,None/Apparently Normal,2014
Texas,480788.0,0.0,1.0,None/Apparently Normal,2014
Texas,480797.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480801.0,0.0,1.0,None/Apparently Normal,2014
Texas,480807.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480809.0,0.0,1.0,None/Apparently Normal,2014
Texas,480815.0,0.0,1.0,None/Apparently Normal,2014
Texas,480815.0,0.0,2.0,None/Apparently Normal,2014
Texas,480829.0,0.0,1.0,None/Apparently Normal,2014
Texas,480833.0,0.0,1.0,None/Apparently Normal,2014
Texas,480837.0,0.0,1.0,None/Apparently Normal,2014
Texas,480844.0,0.0,1.0,None/Apparently Normal,2014
Texas,480874.0,0.0,1.0,None/Apparently Normal,2014
Texas,480876.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480887.0,0.0,1.0,None/Apparently Normal,2014
Texas,480889.0,0.0,1.0,None/Apparently Normal,2014
Texas,480896.0,0.0,1.0,None/Apparently Normal,2014
Texas,480900.0,0.0,1.0,None/Apparently Normal,2014
Texas,480902.0,0.0,1.0,None/Apparently Normal,2014
Texas,480903.0,0.0,1.0,None/Apparently Normal,2014
Texas,480915.0,0.0,1.0,None/Apparently Normal,2014
Texas,480919.0,0.0,1.0,None/Apparently Normal,2014
Texas,480926.0,0.0,1.0,None/Apparently Normal,2014
