STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,YEAR
Texas,480223.0,1.0,1.0,01,27,January,5:00am-5:59am,22,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Multiple State Registration,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Mack,881.0,Mack Medium/Heavy - CBE,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2007.0,1M2AJ07Y37N0,1,M,2,A,J,0,7,Y,3,7,N,0,One Trailing Unit,US DOT,300737,57300737,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,6 Clock Point,Functional Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480282.0,2.0,1.0,None,4,February,7:00am-7:59am,40,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Freightliner,881.0,Freightliner Medium/Heavy - CBE,"Single-unit straight truck or Cab-Chassis (19,500 lbs. < GVWR < or = 26,000 lbs.)",2012.0,1FVACWDT1CDB,1,F,V,A,C,W,D,T,1,C,D,B,No Trailing Units,Not Reported,Not Reported,Not Reported,"10,001 lbs - 26,000 lbs","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Van/Enclosed Box,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,12 Clock Point,Disabling Damage,Towed Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480282.0,3.0,1.0,None,4,February,7:00am-7:59am,40,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Dodge,880.0,"Dodge Medium/Heavy Pickup (pickup-style only - over 10,000 lbs)","Medium/heavy Pickup (>10,000 lbs. GVWR)",2008.0,3D7MX38A68G1,3,D,7,M,X,3,8,A,6,8,G,1,No Trailing Units,None,None,None,"10,001 lbs - 26,000 lbs","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",No Cargo Body Type,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,12 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480375.0,2.0,1.0,None,22,February,6:00pm-6:59pm,28,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Ford,422.0,Ford Expedition,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",2000.0,1FMRU17L7YLB,1,F,M,R,U,1,7,L,7,Y,L,B,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,7 Clock Point,Functional Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480411.0,2.0,1.0,01,22,February,4:00pm-4:59pm,54,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Harley-Davidson,706.0,Harley-Davidson 750cc or greater,Motorcycle,2004.0,5HD1BWB164Y0,5,H,D,1,B,W,B,1,6,4,Y,0,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,6 Clock Point,Minor Damage,Towed Not Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,1.0,2014
Texas,480582.0,3.0,2.0,None,18,March,9:00pm-9:59pm,56,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Dodge,482.0,Dodge Ram Pickup,"Standard pickup (GVWR 4,500 to 10,00 lbs.)(Jeep Pickup, Comanche, Ram Pickup, D100-D350, ......)",1998.0,3B7HF16Z0WM2,3,B,7,H,F,1,6,Z,0,W,M,2,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,Undercarriage,No Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480655.0,2.0,1.0,04,15,March,12:00pm-12:59pm,40,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Ford,880.0,"Ford Medium/Heavy Pickup (pickup-style only - over 10,000 lbs)","Medium/heavy Pickup (>10,000 lbs. GVWR)",2004.0,3FRNX65254V6,3,F,R,N,X,6,5,2,5,4,V,6,One Trailing Unit,Unknown,Unknown,Unknown,"10,001 lbs - 26,000 lbs",Truck Pulling Trailer(s),Flatbed,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,6 Clock Point,Minor Damage,Not Reported,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480672.0,2.0,1.0,None,28,March,0:00am-0:59am,5,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Ford,13.0,Ford Escort/EXP/ZX2,"4-door sedan, hardtop",1997.0,1FALP10P2VW3,1,F,A,L,P,1,0,P,2,V,W,3,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,12 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480676.0,1.0,1.0,01,29,March,9:00pm-9:59pm,14,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Peterbilt,884.0,Peterbilt Medium/Heavy - Unknown engine location,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2000.0,1XP5DB9X2YN5,1,X,P,5,D,B,9,X,2,Y,N,5,One Trailing Unit,US DOT,2133285,572133285,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Dump,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,6 Clock Point,Functional Damage,Towed Not Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480677.0,2.0,1.0,None,29,March,8:00pm-8:59pm,5,Curb,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,23.0,Chevrolet HHR,Station Wagon (excluding van and truck based),2006.0,3GNDA23PX6S6,3,G,N,D,A,2,3,P,X,6,S,6,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,Right-Back Side,Functional Damage,Towed Not Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
