STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,YEAR
Texas,480001.0,0.0,1.0,Pedestrian,24 Years,Male,None Noted,None Noted,None Noted,Entering / Exiting Parked or Stopped Vehicle,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unique Midblock,Not a Cyclist,2014
Texas,480007.0,0.0,1.0,Pedestrian,43 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480027.0,0.0,1.0,Pedestrian,52 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480028.0,0.0,1.0,Pedestrian,45 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480029.0,0.0,1.0,Pedestrian,13 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Northbound,Not a Cyclist,Westbound,Straight through,Nearside,2a,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480034.0,0.0,1.0,Pedestrian,49 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480037.0,0.0,1.0,Pedestrian,78 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480040.0,0.0,1.0,Bicyclist,39 Years,Male,None Noted,None Noted,None Noted,Not a Pedestrian,Motorist Overtaking - Bicyclist Swerved,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist,2014
Texas,480042.0,0.0,1.0,Pedestrian,19 Years,Male,None Noted,None Noted,None Noted,Standing in Roadway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist,2014
Texas,480045.0,0.0,1.0,Pedestrian,61 Years,Male,None Noted,None Noted,None Noted,Entering / Exiting Parked or Stopped Vehicle,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unique Midblock,Not a Cyclist,2014
Texas,480049.0,0.0,1.0,Pedestrian,18 Years,Male,None Noted,None Noted,None Noted,Disabled Vehicle-Related,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480053.0,0.0,1.0,Pedestrian,56 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480057.0,0.0,1.0,Pedestrian,71 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480063.0,0.0,1.0,Pedestrian,25 Years,Male,None Noted,None Noted,None Noted,Crossing an Expressway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist,2014
Texas,480069.0,0.0,1.0,Pedestrian,12 Years,Male,None Noted,None Noted,None Noted,Crossing an Expressway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist,2014
Texas,480082.0,0.0,1.0,Pedestrian,60 Years,Male,None Noted,None Noted,None Noted,Vehicle-Vehicle / Object,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480082.0,0.0,2.0,Pedestrian,59 Years,Male,None Noted,None Noted,None Noted,Vehicle-Vehicle / Object,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480083.0,0.0,1.0,Bicyclist,54 Years,Male,None Noted,None Noted,None Noted,Not a Pedestrian,Motorist Turn / Merge - Other / Unknown,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Parallel Paths - Other Circumstances,2014
Texas,480084.0,0.0,1.0,Bicyclist,40 Years,Male,None Noted,None Noted,None Noted,Not a Pedestrian,Motorist Overtaking - Other/ Unknown,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist,2014
Texas,480087.0,0.0,1.0,Pedestrian,58 Years,Male,None Noted,None Noted,None Noted,Crossing an Expressway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist,2014
Texas,480089.0,0.0,1.0,Pedestrian,39 Years,Female,None Noted,None Noted,None Noted,Crossing an Expressway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist,2014
Texas,480094.0,0.0,1.0,Pedestrian,33 Years,Male,None Noted,None Noted,None Noted,Dash,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Dash / Dart-Out,Not a Cyclist,2014
Texas,480100.0,0.0,1.0,Pedestrian,45 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Southbound,Not a Cyclist,Eastbound,Straight through,Nearside,1a,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480101.0,0.0,1.0,Pedestrian,33 Years,Male,None Noted,None Noted,None Noted,Lying in Roadway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist,2014
Texas,480122.0,0.0,1.0,Pedestrian,58 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480125.0,0.0,1.0,Pedestrian,46 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480127.0,0.0,1.0,Pedestrian,9 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480129.0,0.0,1.0,Pedestrian,78 Years,Male,None Noted,None Noted,None Noted,Dart-Out,Not a Cyclist,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,Eastbound,Straight through,Nearside,1a,Dash / Dart-Out,Not a Cyclist,2014
Texas,480139.0,0.0,1.0,Pedestrian,21 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Westbound,Not a Cyclist,Northbound,Straight through,Nearside,2b,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480152.0,0.0,1.0,Persons on Personal Conveyances,7 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Applicable,Not a Cyclist,Southbound,Straight through,Unknown,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480154.0,0.0,1.0,Pedestrian,22 Years,Male,None Noted,None Noted,None Noted,Walking/Running Along Roadway - Direction / Position Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist,2014
Texas,480157.0,0.0,1.0,Pedestrian,73 Years,Male,None Noted,None Noted,None Noted,Motorist Turn / Merge - Other / Unknown,Not a Cyclist,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Unknown Initial Direction of Travel,Not a Cyclist,Westbound,Left Turn,Farside,12c,Crossing Roadway - Vehicle Turning,Not a Cyclist,2014
Texas,480160.0,0.0,1.0,Pedestrian,62 Years,Female,Yes,Unknown,None Noted,Pedestrian Loss of Control,Not a Cyclist,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,Southbound,Left Turn,Farside,11b,Unusual Circumstances,Not a Cyclist,2014
Texas,480176.0,0.0,1.0,Pedestrian,86 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480177.0,0.0,1.0,Bicyclist,45 Years,Male,None Noted,None Noted,None Noted,Not a Pedestrian,Bicyclist Lost Control - Other / Unknown,Not a Pedestrian,At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Unknown,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Loss of Control / Turning Error,2014
Texas,480179.0,0.0,1.0,Pedestrian,65 Years,Male,None Noted,None Noted,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480181.0,0.0,1.0,Pedestrian,35 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480184.0,0.0,1.0,Pedestrian,27 Years,Female,None Noted,None Noted,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist,2014
Texas,480187.0,0.0,1.0,Bicyclist,50 Years,Male,None Noted,None Noted,None Noted,Not a Pedestrian,Motorist Overtaking - Undetected Bicyclist,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist,2014
Texas,480200.0,0.0,1.0,Pedestrian,60 Years,Male,None Noted,None Noted,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480237.0,0.0,1.0,Pedestrian,46 Years,Male,Unknown,Yes,None Noted,At Intersection - Other / Unknown,Not a Cyclist,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,Northbound,Straight through,Farside,3a,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480239.0,0.0,1.0,Pedestrian,58 Years,Male,None Noted,Yes,None Noted,At Intersection - Other / Unknown,Not a Cyclist,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Unknown Initial Direction of Travel,Not a Cyclist,Southbound,Left Turn,Farside,12c,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480250.0,0.0,1.0,Pedestrian,78 Years,Male,None Noted,None Noted,None Noted,Walking in Roadway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist,2014
Texas,480258.0,0.0,1.0,Pedestrian,22 Years,Male,None Noted,Yes,None Noted,Walking/Running Along Roadway - Direction / Position Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist,2014
Texas,480260.0,0.0,1.0,Pedestrian,21 Years,Male,None Noted,None Noted,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480262.0,0.0,1.0,Pedestrian,40 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480279.0,0.0,1.0,Pedestrian,57 Years,Male,None Noted,Yes,None Noted,Vehicle-Vehicle / Object,Not a Cyclist,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
